Subject Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() angle(X,gravityMean) angle(Y,gravityMean) angle(Z,gravityMean)
      1             LAYING     0.2215982  -0.040513953   -0.11320355  -0.928056469  -0.836827406   -0.82606140 -9.325204e-03  -0.023365945    -0.2488818   0.705549773   0.445817720    -0.8968300  -0.078097494  -0.209117681    0.08108653  3.838204e-03  1.083424e-02  -0.958482112  1.461746e-01 -0.0220122006 -0.0165530940  -0.064486124  0.1486894363    -0.8735439 -0.0387809327 -0.0949743005  0.0351963520 -0.0242477458  -0.009417441   0.086408549 -0.0397079803 -0.1110770699   -0.93909905  -0.867065205   -0.88266688  -0.924437435   -0.94153312    -0.9964246  -0.957073884  -0.922462610   -0.94806090  -0.964160709    -0.9922768    -0.9971799   -0.85024917   -0.95219149   -0.90930272    -0.8822965   -0.98642042    -0.9979329  -0.266246253   -0.50832905  -0.389207746   -0.67371579  -0.001666985  8.443716e-02     0.4267062
      2             LAYING     0.2813734  -0.018158740   -0.10724561  -0.974059465  -0.980277399   -0.98423330 -1.997885e-01  -0.248458834    -0.5097542   0.752536639   0.646834880    -0.9590144  -0.308245417  -0.563200740    0.08259725  1.225479e-02 -1.802649e-03  -0.985872169  1.484004e-01  0.0076642816 -0.0184766067  -0.111800825  0.1448828461    -0.9882752  0.0414978802 -0.0966764838  0.1889039794 -0.2448198533   0.116905482  -0.141203234 -0.0504555534  0.0063060641   -0.97672506  -0.979800878   -0.98438098  -0.973246482   -0.99942517    -0.9997186  -0.985813631  -0.982768250   -0.98619713  -0.987250256    -0.9996851    -0.9997546   -0.98643114   -0.98332164   -0.96267189    -0.9888607   -0.99779337    -0.9995331  -0.381994356   -0.63315780  -0.553611931   -0.81601646   0.065286011 -2.937101e-02     0.6174234
      3             LAYING     0.2755169  -0.018955679   -0.10130048  -0.982776639  -0.962057545   -0.96369103 -1.985857e-01  -0.376096497    -0.2417585   0.837032100   0.488703185    -0.9825122  -0.426717395  -0.799381607    0.07698111  1.380410e-02 -4.356259e-03  -0.980879315  5.776164e-02 -0.1156388828 -0.0208170540  -0.071850716  0.1379995611    -0.9745458  0.1013207371 -0.0868143370  0.2189974229 -0.2316287591   0.118705859  -0.061499623  0.0071008755 -0.1147982468   -0.98066561  -0.961169983   -0.96833214  -0.983691129   -0.99743165    -0.9994793  -0.980513202  -0.968752114   -0.97912234  -0.983122616    -0.9993196    -0.9995907   -0.97016726   -0.97809968   -0.96234196    -0.9759864   -0.99804694    -0.9995675  -0.449730953   -0.70026334  -0.448886207   -0.73609678   0.045587477  3.172617e-02     0.4235059
      4             LAYING     0.2635592  -0.015003184   -0.11068815  -0.954193739  -0.941714042   -0.96266731 -4.240521e-01  -0.048102287    -0.4206647   0.915165104   0.341531311    -0.9212000  -0.523924495  -0.155121998    0.09344942  6.933132e-03 -6.410543e-03  -0.978302781  1.537533e-01  0.0909557493 -0.0092315635  -0.093012818  0.1697204041    -0.9731024  0.2322719976 -0.1671996512  0.2251226051 -0.2848212430  -0.080925870   0.125391920 -0.0084771861 -0.2139393273   -0.95880208  -0.938883374   -0.96750428  -0.952464881   -0.99757103    -0.9991489  -0.978542457  -0.943969987   -0.97538333  -0.980079293    -0.9989065    -0.9991755   -0.96720374   -0.97218784   -0.96147926    -0.9750947   -0.99792692    -0.9992648  -0.306561278   -0.57756823  -0.384445237   -0.67457444   0.007129605  3.665673e-02     0.5534898
      5             LAYING     0.2783343  -0.018304212   -0.10793760  -0.965934510  -0.969295613   -0.96856252  6.649510e-02  -0.072762799    -0.4834706   0.954890346   0.263644692    -0.9456953   0.045666530  -0.165520043    0.08481648  7.474608e-03 -3.040672e-03  -0.983307862  1.193742e-01 -0.0699166936 -0.0218935014  -0.079870960  0.1598943669    -0.9794987  0.0832932545  0.0644917514  0.2101111690 -0.2212900043   0.340130941  -0.217596050  0.1542454117  0.0646359207   -0.96874168  -0.965419521   -0.97700772  -0.964953894   -0.99842991    -0.9995678  -0.982689657  -0.965328566   -0.98325031  -0.985625270    -0.9995785    -0.9996071   -0.97579749   -0.97824965   -0.96320295    -0.9807058   -0.99792627    -0.9996366  -0.413551042   -0.67094283  -0.391210553   -0.72661875  -0.005812889 -3.444203e-02     0.5987327
      6             LAYING     0.2486565  -0.010252917   -0.13311957  -0.934049422  -0.924644826   -0.92521610 -2.622827e-01  -0.129551623    -0.4767099   0.956593814   0.175867709    -0.8877463  -0.215781423  -0.185444729    0.09634820 -1.145292e-03  3.288173e-03  -0.966341055 -3.750730e-02  0.0150510982 -0.0079605027  -0.107218315  0.1791020582    -0.9553782  0.1205384180 -0.1862315407  0.1209969901 -0.2207146835   0.206933160  -0.204918134 -0.2235557697  0.0613354565   -0.93911425  -0.923706791   -0.93804491  -0.932462941   -0.99009291    -0.9979657  -0.967072437  -0.936043420   -0.95442584  -0.968619159    -0.9967663    -0.9980650   -0.93543977   -0.94177154   -0.93263661    -0.9621650   -0.99570031    -0.9984378  -0.213405189   -0.46862376  -0.365542869   -0.70332866   0.085938987 -3.505668e-02     0.5933944
      7             LAYING     0.2501767  -0.020441152   -0.10136104  -0.936513610  -0.926262669   -0.95297837 -5.131128e-01  -0.484447446    -0.5028143   0.393444278   0.907537823    -0.9142213  -0.680264725  -0.845483259    0.09689040  2.506242e-02 -1.316539e-02  -0.980977756  2.180617e-02  0.0287822664 -0.0028264191  -0.133605695  0.1559200298    -0.9601268  0.1664041607 -0.1304872466  0.0347933925  0.0102762213   0.033722652  -0.004372794 -0.0292869185 -0.0157332036   -0.95342425  -0.942193954   -0.95861164  -0.931120581   -0.99404361    -0.9990830  -0.980393047  -0.972531649   -0.96952498  -0.983560175    -0.9975218    -0.9992532   -0.95368455   -0.95757021   -0.95690531    -0.9623483   -0.99694622    -0.9994711   0.054198845   -0.23057447  -0.441914312   -0.74491801   0.063016312  4.862438e-02     0.6124880
      8             LAYING     0.2612543  -0.021228173   -0.10224537  -0.943041215  -0.934891160   -0.93249145 -3.622121e-01  -0.415233477    -0.4059300   0.589922435   0.719831539    -0.9188732  -0.759515483  -0.832324903    0.08783269  2.332992e-02 -1.692188e-02  -0.973253042  1.491551e-01  0.0907017957  0.0053536121  -0.089137414  0.1381883074    -0.9652040  0.0411890605 -0.1358002893  0.1105110342 -0.0871992507   0.111924809  -0.041924324  0.0140915984 -0.1377447710   -0.95353856  -0.951816664   -0.94426951  -0.940125298   -0.98438308    -0.9973623  -0.973110596  -0.975877437   -0.96211114  -0.975959911    -0.9957051    -0.9985477   -0.95790389   -0.95741116   -0.96746124    -0.9678464   -0.99799705    -0.9995989  -0.164138739   -0.41579688  -0.567137469   -0.82106273   0.010633307  1.373168e-02     0.5425974
      9             LAYING     0.2591955  -0.020526822   -0.10754972  -0.942333090  -0.916292776   -0.94070729 -3.931289e-01   0.174787194    -0.5802528  -0.119154196   0.957873042    -0.9218211  -0.435947319   0.333730748    0.08807345  1.156173e-02 -7.053678e-03  -0.964740470  2.637530e-03 -0.1045103084 -0.0136320361  -0.158902920  0.1012750107    -0.9422465  0.2676263789  0.0523371703  0.0539123217 -0.0347562710   0.112050073  -0.102307685  0.0457399402 -0.2429140521   -0.94686549  -0.934366598   -0.94591900  -0.940981027   -0.99555397    -0.9990156  -0.964304065  -0.964082806   -0.95590922  -0.968601304    -0.9966696    -0.9990532   -0.93029792   -0.93457966   -0.95981501    -0.9463892   -0.99864220    -0.9997833  -0.179392201   -0.47607278  -0.318420984   -0.62138783   0.052062224  1.820447e-02     0.6688740
     10             LAYING     0.2802306  -0.024294484   -0.11716864  -0.968283685  -0.946454302   -0.95947149 -1.309191e-01   0.198550505    -0.4530697  -0.139297681  -0.031121624    -0.9545319  -0.335230739   0.267568777    0.07381506  1.569900e-02  7.166896e-03  -0.978007467  1.608181e-01  0.0537799833 -0.0195559372  -0.077032566  0.1047204783    -0.9617132 -0.0031188784  0.2299101284  0.2207255631 -0.2347376698   0.116325032  -0.124708365 -0.2814087506 -0.0423707140   -0.96918421  -0.954341849   -0.96430085  -0.967968039   -0.99250182    -0.9983793  -0.979014669  -0.968039174   -0.97259221  -0.978904364    -0.9983858    -0.9990830   -0.95379391   -0.95467003   -0.96975578    -0.9645446   -0.99819238    -0.9996036  -0.391137480   -0.63009249  -0.431499641   -0.74660787   0.019911134  5.832243e-02     0.5772224
